abacavir: Er is een Contraindicatie HLA-B*5701-positief,48% van de HLA-B*5701-positieve patiënten ontwikkelt een ernstige en mogelijk levensbedreigende overgevoeligheidsreactie voor abacavir.Abacavir is gecontraïndiceerd voor HLA-B*5701-positieve patiënten.vermijd abacavir,CYP2C9
acenocoumarol: Er is een Contraindicatie VKORC1 1173TT (-1639AA),"Een INR > 6, leidend tot een verhoogd bloedingsrisico, treedt bij 8-12% van deze patiënten op in de eerste weken van therapie bij normale instelling door de trombosedienst. De genetische variatie verhoogt de gevoeligheid voor acenocoumarol.gebruik 50% van de normale startdoseringcontroleer de INR frequenterDe berekening van de startdosering en onderhoudsdosering kan worden uitgevoerd met behulp van een algoritme.Echter, het algoritme gebruikt in EU-PACT (zie https://www.knmp.nl/patientenzorg/medicatiebewaking/farmacogenetica voor een rekenmodule in de vorm van een Excelfile) gaf voor patiënten met twee of meer VKORC1- en/of CYP2C9-varianten geen significante vermindering van de incidentie van INR’s boven het streefgebied ten opzichte van een algoritme zonder genetische informatie. Gebruik van dit algoritme kan daarom op dit moment niet worden aangeraden.Voor kinderen is een (niet-gevalideerd) algoritme beschreven, dat voor AA een betere voorspelling van de onderhoudsdosering geeft dan de huidige door de trombosedienst gebruikte richtlijn (Maagdenberg H et al. The pediatric acenocoumarol dosing algorithm: The Children Anticoagulation and Pharmacogenetics Study. J Thromb Haemost 2018 Jun 23 [Epub ahead of print]. PubMed PMID: 29935043).",CYP3A5
allopurinol: Er is een Contraindicatie Abcg2 141qk,"De effectiviteit van allopurinol is verlaagd, waardoor een hogere dosis nodig is. De genvariatie verlaagt de uitscheiding van urinezuur door nieren en darmen, waardoor een sterkere remming van de urinezuurproductie door allopurinol nodig is om de gewenste urinezuurconcentratie te bereiken.gebruik 1,25 maal de normale dosisDit komt overeen met een dosistitratieschema van 100, 200, 400 en 500 mg/dag in plaats van het gebruikelijke schema van 100, 200, 300 en 400 mg/dag.",SLCO1B1
amitriptyline: Er is een Contraindicatie CYP2D6 poor metabolizer,In theorie is het risico op bijwerkingen verhoogd doordat de genetische variatie leidt tot hogere plasmaconcentraties van de actieve metaboliet nortriptyline en in mindere mate van amitriptyline.gebruik 70% van de normale dosis en monitor effect en bijwerkingen of de plasmaconcentraties van nortriptyline en amitriptyline voor het instellen van de onderhoudsdosering,HLA-B
amitriptyline: Er is een Contraindicatie CYP2D6 intermediate metabolizer,Het risico op bijwerkingen is verhoogd doordat de genvariatie tot hogere plasmaconcentraties leidt van de actieve metaboliet nortriptyline en in mindere mate van amitriptyline.gebruik 75% van de normale dosis en monitor effect en bijwerkingen of de plasmaconcentraties van nortriptyline en amitriptyline voor het instellen van de onderhoudsdosering,CYP2C9
anticoncept. met oestr.: Er is een Contraindicatie Factor V Leiden homozygoot,"Het homozygoot aanwezige, genetisch polymorfisme factor V Leiden veroorzaakt een toegenomen stollingsneiging met als gevolg een toegenomen risico op veneuze trombo-embolieën. Anticonceptiva met oestrogenen kunnen dit risico verder verhogen.Advies:Bij ANAMNESTISCH VEEL TROMBOSE in de familie OF een eerder DOORGEMAAKTE TROMBOSE:Adviseer de voorschrijver om het gebruik van anticonceptiva met oestrogenen te vermijden en als alternatief een niet-hormoonhoudend anticonceptivum voor te schrijven zoals een koperhoudend spiraaltje (IUD). Eventueel kan gekozen worden voor een anticonceptiemethode met alleen progestagenen zoals de prikpil, een IUD met levonorgestrel of een implantaat met etonogestrel.OVERIGE GEVALLEN:Adviseer de patiënt om additionele risicofactoren voor trombose (obesitas, roken etc) te vermijden.",VKORC1
anticoncept. met oestr.: Er is een Contraindicatie Factor V Leiden heterozygoot,"Het heterozygoot aanwezige, genetisch polymorfisme factor V Leiden veroorzaakt een toegenomen stollingsneiging met als gevolg een toegenomen risico op veneuze trombo-embolieën. Anticonceptiva met oestrogenen kunnen dit risico verder verhogen.Advies:Bij ANAMNESTISCH VEEL TROMBOSE in de familie OF een eerder DOORGEMAAKTE TROMBOSE:Adviseer de voorschrijver om het gebruik van anticonceptiva met oestrogenen te vermijden en als alternatief een niet-hormoonhoudend anticonceptivum voor te schrijven zoals een koperhoudend spiraaltje (IUD). Eventueel kan gekozen worden voor een anticonceptiemethode met alleen progestagenen zoals de prikpil, een IUD met levonorgestrel of een implantaat met etonogestrel.OVERIGE GEVALLEN:Adviseer de patiënt om additionele risicofactoren voor trombose (obesitas, roken etc) te vermijden.",CYP2C9
aripiprazol: Er is een Contraindicatie CYP2D6 poor metabolizer,Het risico op bijwerkingen is verhoogd. De genetische variatie leidt tot een toename van de som van de plasmaconcentraties van aripiprazol en de actieve metaboliet.geef maximaal 10 mg/dag of 300 mg/maand (68-75% van de normale maximumdosering voor aripiprazol).,VKORC1
atomoxetine: Er is een Contraindicatie CYP2D6 intermediate metabolizer,"De benodigde dosis kan verlaagd zijn, doordat de genvariatie tot een hogere plasmaconcentratie van atomoxetine leidt.bij optreden van bijwerkingen en/of een respons later dan 9 weken: verlaag de dosering en kijk of effectiviteit behouden blijftDe plasmaconcentratie van atomoxetine is voor IM een factor 2-3 maal zo hoog als voor NM bij dezelfde dosering.",HLA-B
atomoxetine: Er is een Contraindicatie CYP2D6 ultrarapid metabolizer,"De effectiviteit kan verminderd zijn door de genvariatie. De genvariatie leidt tot een verhoogde omzetting van atomoxetine in de actieve metaboliet 4-hydroxyatomoxetine, die een veel lagere plasmaconcentratie heeft. Hierdoor neemt de plasmaconcentratie van de actieve stoffen af.wees uit voorzorg extra alert op een verminderde effectiviteit van de therapieadviseer de patiënt om bij onvoldoende effect van de therapie contact op te nemeneventueel kan uit voorzorg een alternatief worden gekozenClonidine wordt niet gemetaboliseerd door CYP2D6.",CYP2C9
